indice_tiempo,ipc_nivel_general_nacional,ipc_estacionales_nacional,ipc_nucleo_nacional,ipc_regulados_nacional,ipc_nivel_general_gba,ipc_estacionales_gba,ipc_nucleo_gba,ipc_regulados_gba,ipc_nivel_general_pampeana,ipc_estacionales_pampeana,ipc_nucleo_pampeana,ipc_regulados_pampeana,ipc_nivel_general_nea,ipc_estacionales_nea,ipc_nucleo_nea,ipc_regulados_nea,ipc_nivel_general_noa,ipc_estacionales_noa,ipc_nucleo_noa,ipc_regulados_noa,ipc_nivel_general_cuyo,ipc_estacionales_cuyo,ipc_nucleo_cuyo,ipc_regulados_cuyo,ipc_nivel_general_patagonia,ipc_estacionales_patagonia,ipc_nucleo_patagonia,ipc_regulados_patagonia
2025-01-01,7864.1257,7411.5104,7995.938,7698.607,7834.1477,7594.8511,7982.0485,7506.9362,7867.7709,7503.9557,8047.6306,7453.5936,7929.1117,6884.7796,7815.1526,9117.4846,7912.5281,6892.5915,7934.716,8554.7696,7941.8472,6618.7557,8120.7181,8107.3033,7910.4797,7188.6453,7879.1753,8461.9914
2025-02-01,8052.9927,7350.8325,8229.4476,7877.3099,8009.2272,7516.7019,8201.6452,7665.1338,8064.853,7464.522,8295.8935,7615.3092,8080.656,6819.9367,7988.4577,9335.6779,8116.2881,6900.9466,8168.484,8782.045,8154.0078,6456.2127,8391.5004,8340.44,8164.2681,7151.4571,8157.7368,8811.7972
2025-03-01,8353.3158,7971.2748,8492.1966,8129.994,8317.925,8249.0773,8462.357,7924.1512,8356.1088,8016.7166,8559.9624,7841.4239,8333.4503,7228.5174,8231.1487,9518.4699,8467.6619,7466.8754,8484.7245,9116.0396,8441.2462,7172.3461,8629.1769,8546.6806,8434.2328,7393.4544,8398.7002,9196.9925
2025-04-01,8585.6078,8121.3082,8765.1966,8273.8986,8547.3129,8388.3908,8736.6696,8061.9801,8591.2047,8158.6628,8838.521,7979.6815,8555.3175,7361.4138,8477.8383,9704.9088,8710.4114,7610.108,8764.9608,9284.9656,8682.2113,7308.547,8907.06,8726.807,8659.3943,7752.5062,8627.168,9328.301
2025-05-01,8714.4871,7899.4762,8957.7912,8382.4957,8675.5948,8142.7355,8922.0337,8190.7889,8725.94,7911.5735,9054.6662,8061.6444,8664.0131,7156.4774,8661.4962,9738.3445,8816.9664,7400.6997,8924.269,9413.1935,8823.8855,7136.2227,9107.343,8855.2409,8789.6656,7858.8563,8765.3855,9446.5048
2025-06-01,8855.5681,7882.5607,9111.304,8569.0645,8851.2214,8156.9864,9107.9966,8408.6939,8840.1405,7904.2893,9176.0723,8225.5673,8755.8305,6992.0434,8779.7885,9906.2986,8924.3327,7316.7643,9047.7939,9594.6628,8909.2196,7040.5215,9241.1005,8885.394,8949.9232,7813.4077,8942.0932,9678.2332
2025-07-01,9023.973,8201.9212,9246.0737,8766.629,9016.5562,8480.6034,9240.3481,8599.7496,9016.3238,8291.1362,9309.9392,8421.6182,8905.132,7135.5785,8912.6927,10124.5706,9073.9428,7476.2527,9174.1102,9827.2323,9074.6511,7407.609,9366.6805,9066.5158,9141.623,7959.1296,9132.6761,9902.0997
2025-08-01,9193.2441,8137.0132,9435.1467,9000.5641,9185.3068,8439.1301,9428.4121,8806.3759,9182.3487,8149.3939,9508.4922,8662.8297,9055.1527,7169.2324,9048.9734,10411.1318,9252.4989,7429.4903,9362.113,10130.1063,9266.2277,7421.9079,9573.8153,9307.5836,9320.3353,8024.0178,9295.1181,10206.0615
2025-09-01,9384.0922,8316.258,9614.0254,9237.6711,9377.7681,8637.923,9608.791,9031.5204,9366.761,8264.9813,9689.4722,8902.1444,9217.6682,7458.8014,9186.1981,10584.042,9455.5666,7733.7359,9529.2733,10399.7088,9465.5075,7593.1675,9757.32,9573.936,9543.6369,8193.5493,9497.9901,10531.5755
2025-10-01,9603.8623,8548.5791,9827.1413,9474.6115,9602.5137,8894.8979,9836.1396,9234.0957,9584.145,8458.8881,9898.7807,9162.8193,9419.0224,7624.7311,9389.3599,10803.2528,9657.7445,8044.17,9706.2981,10621.8136,9687.3328,7886.6133,9936.3348,9894.4514,9774.0954,8353.8316,9702.38,10893.4252
2025-11-01,9841.3581,8584.9379,10086.4793,9748.309,9840.8457,8875.6495,10107.6944,9490.7233,9821.3638,8543.4315,10158.5138,9414.6473,9642.9016,7804.5637,9618.7963,11036.2353,9879.6088,8128.2741,9936.4168,10910.1079,9960.8437,7848.546,10218.1866,10316.6973,10001.4949,8429.7808,9886.7334,11359.7523
2025-12-01,10121.3715,8637.1055,10392.4922,10069.0986,10115.6707,8947.0847,10407.4143,9783.931,10107.6074,8600.176,10470.6116,9751.2709,9968.3824,7793.61,9987.7566,11427.162,10137.067,8190.278,10208.427,11250.8406,10255.4297,7797.7046,10566.9801,10630.0809,10258.6285,8428.1142,10148.4029,11761.3886
2026-01-01,10413.0309,9130.0503,10665.8531,10313.8016,10395.7458,9433.312,10683.2854,9983.5265,10400.4968,9145.1547,10738.6474,9976.208,10350.7115,8307.2978,10288.0689,12041.3632,10425.8507,8683.8962,10469.8051,11499.3229,10561.6315,8203.2325,10832.4432,11012.6054,10554.0348,8671.9133,10436.7053,12112.6604
2026-02-01,10714.6255,9013.6124,10993.8681,10752.23,10667.6896,9176.3219,10991.1691,10387.9828,10714.2389,9067.4286,11099.411,10365.4964,10676.7516,8458.0735,10633.0486,12416.1842,10795.0756,8783.1631,10807.4236,12183.3611,10921.6567,8281.7695,11168.5654,11609.1582,10868.5551,8795.9152,10677.4595,12794.0
2026-03-01,11077.0608,9107.887,11344.4566,11298.7045,11031.5404,9284.12,11326.0064,10952.4808,11065.4568,9134.1719,11471.7251,10818.1219,11119.3596,8585.8747,11009.9452,13341.1361,11221.7466,8949.2112,11204.0352,12912.2048,11271.7383,8359.5287,11522.3024,12101.0458,11137.8047,8838.9739,10921.2095,13289.0661
2026-04-01,11363.0904,9103.5096,11603.8447,11828.0421,11336.5576,9300.4126,11587.0382,11516.8923,11330.2697,9090.1983,11735.6603,11277.5953,11423.3251,8651.3096,11263.8011,14011.8414,11506.6342,8902.4007,11471.8499,13499.8125,11511.107,8396.8323,11714.6742,12607.1615,11429.5989,8877.4258,11199.4543,13783.0804
2026-05-01,11607.3937,9420.5342,11824.7213,12111.4533,11594.5499,9620.9269,11831.9766,11785.1189,11556.8543,9404.7087,11938.7434,11533.2464,11725.5958,8974.4903,11470.2632,14678.5515,11747.5318,9239.2387,11666.1452,13852.3104,11750.0933,8719.2982,11893.9725,12992.9868,11622.7473,9136.2335,11417.8728,13850.3241
